,0
TMPOL,4028e4a246b4c5ad0148319a4a87518f
TRATE,4028e4a1422d986e014237c182f331dc
TRHOL,4028e4a140f2ed7101411163985a021e
TRILC,8acae2c575a1b5b601773ec6c0030b66
"TRMEN, TVM",4028e4a2416f888d01416f9bd89f0453
TRNSK,1DE05DAA8413073AE0530A4A622A2EBD
TSGYO,4028e4a240f2ef470140f37174c600a7
"TSK, TSKB",4028e4a140f2ed710140f3831c6300fd
TUCLK,4028e4a146b4c4110147f3bb4e795ce5
TURGG,4028e4a140f2ed720140f3440383018e
TURSG,4028e4a140e95be70140ee2f466d0159
"TVB, VAKBN",4028e4a1415f4d9b01415fe3340f36e4
UFUK,4028e4a24158e42201415afe28e760a4
ULUFA,4028e4a1416e696301416f321c3d5ca7
ULUSE,4028e4a24a069620014a341cfac83419
ULUUN,4028e4a14371e09d0143c4d925022442
UNLU,4028e4a24bcf2bca014be9def2a47203
"UNLUS, UNS",4028e4a142140a8c014222e4b272248f
UNP,4028e4a142140a8c014222e48869248c
USAS,4028e4a140f2ed7201410d2f5f6c030e
VANGD,4028e4a1416e696301416ecfa3fb2ca4
VBTYZ,8acae2c4794d3648017a420bdd4c4fa3
VERTU,4028e4a2420327a4014209c59cc91457
VERUS,4028e4a2422d9a78014275ba7f133b05
VKGYO,4028e4a140f2ed72014101a0d3b501f7
VKING,4028e4a140f2ed72014101a2d00a01fe
VKY,4028e4a241462fd801414b163d4d184e
VRGYO,8acae2c486d22a3a018b27e15c37493e
"YAT, YFMEN",4028e4a140f2ed72014101ad44740202
YATAS,4028e4a140f2ed72014106c48768022e
YAYLA,4028e4a1486ec80b0148c539d6721829
YESIL,4028e4a2416e696c01416edc458b30f0
YGGYO,4028e4a241733d4201417cda3f421321
YGYO,4028e4a141558bdd0141560fb3fb051a
"YKB, YKBNK",4028e4a240f2ef4c01412ae6d6630538
"YKR, YKYAT",4028e4a240f2ef4c01412ae47c99052d
YKSLN,8acae2c569cee403016a6e925a8b5bd8
YUNSA,4028e4a240f2ef4c014101b726fa011d
YYAPI,4028e4a1416e696301416f35f8425ec3
YYLGD,4028e4a2420a2daf014213d4625d3edc
ZEDUR,4028e4a240f2ef470141164fd5f803a1
